Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,Residential_Status,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Loan_Type,Co-Applicant,Bank_Account_History,Transaction_Frequency,Default_Risk,Loan_Approval_Status
0,25,1,2,0,0,0,1,139901,2533,743,0,10942,19822,0,24535,209,1,4.27,0,1,8,20,0.81,1
1,36,1,2,1,0,0,1,21162,4041,468,1,48731,18321,0,8288,33,1,14.78,1,1,9,9,0.17,0
1,43,2,0,2,1,1,1,27815,3453,389,2,6925,13851,0,10308,159,3,12.33,0,1,7,27,0.25,0
0,28,1,0,1,1,1,2,137853,2732,778,0,42016,28608,1,33937,39,2,8.77,0,0,9,16,0.27,1
0,32,2,0,0,0,3,2,81753,1648,752,2,31747,8780,1,23360,34,1,9.04,1,0,1,17,0.32,1
1,49,2,2,2,0,1,1,149372,2976,793,0,2635,4453,0,30056,111,0,4.98,1,1,4,14,0.99,1
0,41,1,0,1,0,3,1,123266,1118,707,0,15843,28872,0,34707,192,2,7.35,1,1,2,13,0.56,1
0,52,2,2,2,0,0,1,59889,4622,349,2,12436,29440,0,10583,81,3,13.49,1,0,4,21,0.45,0
1,27,2,1,0,1,1,2,121626,2511,803,0,9919,13940,0,20239,101,1,13.53,0,1,4,18,0.54,0
1,61,2,3,2,0,1,1,38330,4523,599,2,4325,19381,0,15084,164,2,14.07,0,0,4,19,0.22,1
0,32,1,3,2,1,3,2,54670,4969,772,1,28940,22104,0,20000,158,1,6.74,1,0,6,8,0.68,1
0,38,1,2,2,0,2,2,45368,1746,311,2,4949,24498,0,15496,226,3,8.6,0,1,7,7,0.83,0
1,54,1,3,0,0,0,1,39362,2534,332,2,40843,9411,0,13170,203,0,5.31,0,1,9,5,0.63,1
1,39,2,2,2,1,3,2,114706,3895,789,0,27122,1043,0,31437,234,0,5.81,1,1,3,27,0.13,1
1,32,0,0,1,0,1,1,83938,3444,756,1,43969,14421,0,22519,44,2,13.39,1,0,5,9,0.29,1
0,37,2,2,1,0,3,1,126106,3076,826,0,46817,24028,0,36921,83,3,10.61,1,0,5,14,0.54,1
0,46,2,0,2,1,3,2,141776,2887,745,1,16401,28232,1,25115,175,1,13.17,1,0,9,14,0.33,1
1,30,2,0,1,0,3,0,73388,1024,821,0,39869,21641,0,20347,157,0,8.56,0,0,0,25,0.09,1
0,47,1,2,0,0,3,1,136354,3703,806,1,26560,6546,0,20651,70,1,12.51,1,1,3,6,0.69,1
0,34,1,2,2,0,1,2,98808,2975,843,0,9826,19231,0,22547,51,1,8.72,0,1,1,29,0.28,1
1,25,1,1,0,0,3,2,76173,1323,752,2,3851,29337,0,21185,122,0,9.65,1,0,6,25,0.48,0
0,33,2,0,0,0,2,2,112335,2636,815,2,19895,24735,0,20804,39,2,12.47,0,0,3,11,0.26,0
0,29,1,2,2,0,1,1,59576,1966,748,2,2901,16499,0,20000,111,0,8.27,1,0,3,8,0.72,1
0,48,1,1,1,1,1,1,75902,4412,808,2,38696,4475,0,21091,133,1,14.43,1,0,0,22,0.06,0
0,36,1,0,1,2,3,1,76130,3789,808,0,19161,10197,0,22559,119,1,12.62,1,1,4,24,0.76,1
1,62,2,3,2,0,1,1,25512,3437,444,1,49345,1466,1,5605,44,1,8.03,1,1,8,14,0.47,1
0,30,1,3,0,0,0,1,83447,3687,794,2,2841,19771,0,21241,161,0,5.4,1,1,7,23,0.51,1
1,40,2,0,2,0,2,1,73963,4692,741,1,34053,3495,0,20696,41,1,6.44,1,0,8,16,0.64,1
0,36,2,1,1,1,0,2,127788,4444,784,0,41825,1942,0,35810,100,1,10.02,1,1,5,28,0.46,1
0,46,0,1,2,1,0,1,104806,4972,839,2,47381,1269,1,23447,42,1,5.99,1,0,7,8,0.06,1
1,28,0,2,1,0,3,2,67933,1594,742,0,23309,13179,1,20249,45,2,13.17,0,0,8,9,0.24,0
0,27,1,0,1,1,2,1,111334,4928,842,2,28057,7520,0,32288,184,1,9.19,0,0,1,25,0.37,1
0,26,2,1,0,0,1,2,99270,3883,712,0,14504,13508,0,26828,192,2,6.6,0,0,6,9,0.93,1
0,59,1,0,0,0,1,0,42620,4689,391,1,27323,20923,0,14659,196,1,5.03,1,0,7,20,0.08,0
0,29,1,3,0,0,1,0,39883,2928,510,1,47837,19322,0,9056,44,1,14.16,0,1,1,21,0.24,0
0,53,1,0,0,1,1,1,66047,849,482,0,42842,16363,0,24795,124,0,3.97,0,1,9,26,0.71,0
0,39,2,0,1,0,1,1,140024,3496,825,1,30144,21141,1,34924,87,1,7.29,1,1,7,28,0.94,1
0,38,1,1,1,2,0,1,56434,4714,760,1,44072,14797,0,20000,47,1,10.47,0,1,9,28,0.12,1
1,37,1,3,2,1,3,1,88355,3157,752,0,39101,26645,0,23097,229,0,14.68,1,1,8,28,0.67,1
1,41,1,0,1,1,0,1,138057,4469,726,1,49996,8323,0,31869,74,1,7.27,0,0,2,27,0.23,1
1,46,1,1,0,0,2,1,51249,1891,815,2,20168,22824,0,20000,120,1,4.78,1,1,0,5,0.78,1
0,47,2,2,2,1,1,1,67520,4023,843,1,34107,5958,0,20017,54,1,5.07,0,1,0,19,0.55,1
1,29,1,1,1,1,2,1,122670,3948,723,0,47607,19881,0,24781,143,3,10.66,1,0,3,9,0.95,1
0,59,1,1,0,1,1,1,67367,1815,418,1,40511,27294,0,13580,156,1,8.52,0,0,6,8,0.16,0
0,34,1,1,0,1,1,2,134031,3080,812,0,20736,28911,1,36100,85,2,11.24,1,0,6,12,0.76,0
1,41,1,3,0,1,0,2,116852,3954,741,1,38210,17280,0,23742,149,1,4.12,1,1,7,28,0.39,0
0,43,1,1,0,1,3,1,122278,4560,828,0,20248,5386,0,20342,197,3,13.13,0,0,1,22,0.75,1
1,46,1,3,0,1,0,1,52600,2669,794,1,32961,28914,0,20000,81,0,3.87,0,0,6,17,0.41,1
1,47,2,3,1,1,3,1,60103,1176,847,0,35354,788,0,20000,41,2,11.67,1,0,5,17,0.9,1
1,49,0,1,0,0,0,1,64215,549,782,1,20182,19492,0,20000,81,1,4.5,1,1,2,18,0.89,0
1,61,2,1,2,0,3,1,24428,1093,548,0,9292,17323,0,6342,181,1,13.78,0,0,3,19,0.86,0
0,45,2,0,0,0,3,1,33432,1751,357,0,17881,13599,0,6055,190,1,9.67,0,1,7,18,0.25,0
1,19,1,2,0,2,3,1,32418,1717,587,0,37560,22349,0,11224,73,0,7.35,1,0,4,19,0.2,1
1,20,2,1,2,0,0,0,41190,2918,511,2,41654,18678,1,9663,74,1,13.35,1,1,8,17,0.6,0
0,39,2,3,0,1,0,2,63611,1868,846,0,16021,285,0,20000,54,1,12.79,1,1,6,9,0.47,1
1,30,2,0,0,0,2,1,43060,1835,306,1,17048,4879,0,9244,160,0,9.76,1,0,1,8,0.9,0
0,28,2,0,1,0,0,1,120324,3705,720,0,41166,10525,0,29625,32,0,5.63,0,1,9,28,0.12,1
1,45,1,1,0,0,1,1,126335,3783,756,0,16291,14334,1,20464,40,1,5.93,1,0,6,21,0.44,1
1,38,1,0,1,0,1,1,143063,2401,788,1,22407,10490,0,32776,224,0,8.41,1,0,9,17,0.22,1
0,37,1,3,1,1,2,2,106339,3492,827,1,38747,3190,0,28112,193,3,4.73,0,1,7,19,0.22,0
1,31,1,1,1,0,0,0,127737,4816,777,0,29781,8134,1,32997,213,2,13.95,1,0,7,15,0.13,1
1,38,1,2,1,0,2,2,148537,1408,849,1,15771,18477,1,24363,40,2,14.11,0,0,1,14,0.82,1
0,55,0,1,0,0,1,1,32920,2753,385,1,35987,7125,1,6749,26,1,14.18,1,0,2,23,0.47,0
1,29,1,3,2,0,0,2,64093,2296,807,2,32765,4132,0,20000,147,0,3.74,1,1,5,27,0.37,1
1,37,1,0,0,0,2,1,104510,3578,772,1,42942,21722,0,22924,89,3,9.26,1,1,8,25,0.62,1
0,30,2,2,0,1,2,1,94133,2377,795,0,31882,29162,0,22170,200,0,12.69,1,1,5,9,0.88,1
1,41,2,2,0,2,2,0,122542,1907,744,2,35412,9871,0,24127,198,0,10.94,1,1,2,16,0.56,1
